timestamp,open,high,low,close,volume,Dividends,Stock Splits,symbol,timeframe,price_change,price_range,body_size,upper_shadow,lower_shadow,rsi,macd,macd_signal,macd_histogram,sma_short,sma_long,ema_short,ema_long,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,stoch_k,stoch_d,atr,adx,volume_sma,williams_r,typical_price,sma_tp,mad,cci,typical_price_mfi,raw_money_flow,positive_money_flow,negative_money_flow,mfi,obv,vwap,roc,momentum,head_shoulders,double_top,double_bottom,ascending_triangle,descending_triangle,symmetrical_triangle,bull_flag,bear_flag,support_level,resistance_level,support_distance,resistance_distance,volume_sma_5,volume_sma_20,volume_sma_50,volume_ratio_5,volume_ratio_20,volume_ratio_50,volume_spike,volume_drought,volume_trend,price_volume_trend,volume_price_correlation,volume_at_price,volume_weighted_price,doji,hammer,shooting_star,bullish_engulfing,bearish_engulfing,gap_up,gap_down,price_momentum_1,price_momentum_3,price_momentum_5,price_momentum_10,volatility_5,volatility_20,volatility_ratio,trend_strength,trend_direction,market_regime
2023-09-06 09:30:00-04:00,110.55999755859375,111.33000183105469,108.5,109.36540222167969,16995451,0.0,0.0,AMD,1h,,0.02587657315353147,0.010922973012001192,0.007040656887999798,0.007912943253530478,,,,,,,,,,,,,,,,0.0,0.0,,,109.73180135091145,,,,109.73180135091145,1864941453.0011494,,,,0,109.73180135091145,,,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,185640.8525997887,,0,0,0,0,0,0,0,,,,,,,,,-1,0
2023-09-06 10:30:00-04:00,109.35150146484375,110.05000305175781,108.95999908447266,109.70010375976562,7790233,0.0,0.0,AMD,1h,0.0030603969014579846,0.009936216374709882,0.0031777754347916197,0.0031895985509588823,0.0035688423889593795,,,,,,,,,,,,,,,,0.0,0.0,,,109.57003529866536,,,,109.57003529866536,853576104.7948277,,,,7790233,109.68095767685803,,,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,24755.611058703023,,0,0,0,0,0,0,0,0.0030603969014579846,,,,,,,,-1,0
2023-09-06 11:30:00-04:00,109.70120239257812,110.0999984741211,108.56999969482422,108.66000366210938,5250100,0.0,0.0,AMD,1h,-0.009481304593238926,0.014080606734144607,0.009582170949547138,0.0036701276284056687,0.0008283081561918018,,,,,,,,,,,,,,,,0.0,0.0,,,109.11000061035156,,,,109.11000061035156,572838414.2044067,,,,2540133,109.58115732888423,,,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,50307.35570221743,,0,0,0,0,1,0,0,-0.009481304593238926,,,,,,,,-1,0
2023-09-06 12:30:00-04:00,108.6500015258789,108.9800033569336,108.22000122070312,108.83039855957031,4691092,0.0,0.0,AMD,1h,0.0015681473561404147,0.006983362610902023,0.0016575978410357712,0.0013746600154311878,0.003951104754435064,,,,,,,,,,,,,,,,0.0,0.0,,,108.67680104573567,,,,108.67680104573567,509812871.97124225,,,,7231225,109.45899204902929,,,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,7775.943971300178,,0,1,0,0,0,0,0,0.0015681473561404147,-0.004891891322494679,,,,,,,-1,0
2023-09-06 13:30:00-04:00,108.8499984741211,109.5999984741211,108.84329986572266,109.58000183105469,4242159,0.0,0.0,AMD,1h,0.006887811506764541,0.006905444385418792,0.006661830121695734,0.00018248441989658057,6.112984382647758e-05,,,,,,,,,,,,,,,,0.0,0.0,,,109.34110005696614,,,,109.34110005696614,463842331.67655945,,,,11473384,109.44615835748013,,,0,0,0,0,0,0,0,0,,,,,7793807.0,,,0.5442986976711125,,,0,0,,,,28260.54260722265,,0,0,0,0,0,0,0,0.006887811506764541,-0.0010948205570885383,,,,,,,-1,0
2023-09-06 14:30:00-04:00,109.58000183105469,109.7300033569336,109.0,109.05000305175781,3700494,0.0,0.0,AMD,1h,-0.004836637802890342,0.006694207579133365,0.00486014456180551,0.0013755297724082761,0.000458533244919579,,,,,,,,,,,,,,,,0.0,0.0,,,109.26000213623047,,,,109.26000213623047,404315982.34510803,,,,7772890,109.43001405038461,,,0,0,0,0,0,0,0,0,,,,,5134815.6,,,0.7206673595055683,,,0,0,,,,17984.93579009392,,0,0,0,0,0,0,0,-0.004836637802890342,0.0035891715120972556,-0.0028839026192448713,,0.006538070953515359,,,,-1,0
2023-09-06 15:30:00-04:00,109.05999755859375,109.3499984741211,108.88050079345703,109.30000305175781,3301298,0.0,0.0,AMD,1h,0.0022925262998969576,0.004295495586049866,0.0021958415961837673,0.0004574146474598584,0.0016422393424062398,,,,,,,,,,,,,,,,0.0,0.0,,,109.17683410644531,,,,109.17683410644531,360425264.0819397,,,,11074188,109.41183246660395,,,0,0,0,0,0,0,0,0,,,,,4237028.6,,,0.7791540514973159,,,0,0,,,,7249.127469798279,,0,0,0,0,0,0,0,0.0022925262998969576,0.004315012151044018,-0.0036472226943741193,,0.006440044785500686,,,,-1,0
2023-09-07 09:30:00-04:00,106.19000244140625,107.47000122070312,105.08999633789062,106.8499984741211,15819208,0.0,0.0,AMD,1h,-0.022415411795336793,0.022274262206835066,0.006176846440242989,0.0058025526947685915,0.010294863071823486,,,,,,,,,,,,,,,,0.0,0.0,,,106.46999867757161,,,,106.46999867757161,1684271054.8402302,,,,-4745020,108.6586773565586,,,0,0,0,0,0,0,0,0,,,,,6350850.2,,,2.4908803548853977,,,0,0,,,,97712.81862226342,,0,0,0,0,0,0,1,-0.022415411795336793,-0.024913335565941885,-0.01665751083183009,,0.011473087353618388,,,,-1,0
2023-09-07 10:30:00-04:00,106.9000015258789,107.69000244140625,106.36000061035156,106.4636001586914,7638235,0.0,0.0,AMD,1h,-0.00361626879688981,0.012492549839308713,0.004099066408960559,0.007420385130220962,0.0009730983001271929,,,,,,,,,,,,,,,,0.0,0.0,,,106.8378677368164,,,,106.8378677368164,816052740.6727219,,,,-12383255,108.45835878653156,,,0,0,0,0,0,0,0,0,,,,,6940278.8,,,1.1005660176072465,,,0,0,,,,31309.632512246855,,0,0,0,0,0,0,0,-0.00361626879688981,-0.023717586617937436,-0.02174758552945477,,0.011152859218487694,,,,-1,0
2023-09-07 11:30:00-04:00,106.44999694824219,107.48999786376953,106.18000030517578,107.31999969482422,4809725,0.0,0.0,AMD,1h,0.008044059517584357,0.012206462563537707,0.008106622708311369,0.0015840306506589665,0.002515809204567371,,,,,,,,,,,,,,,,0.0,0.0,,,106.99666595458984,,,,106.99666595458984,514624539.15843964,,,,-7573530,108.36365875380423,,,0,0,0,0,0,0,0,0,,,,,7053792.0,,,0.6818637408077811,,,0,0,-379400.1636363637,,,38990.6259057329,,0,0,0,1,0,0,0,0.008044059517584357,-0.018115309255718692,-0.020624220646709213,,0.011451782754581058,,,,-1,0
2023-09-07 12:30:00-04:00,107.33999633789062,107.50769805908203,106.56999969482422,106.75499725341797,4640725,0.0,0.0,AMD,1h,-0.005264651910295348,0.008783648432231029,0.005479828574993724,0.0015709027727602415,0.0017329170844770636,,,,,,,,,,,,,,,,0.0,0.0,,,106.94423166910808,,,,106.94423166910808,496298769.5126216,,,,-12214255,108.28014864160127,-2.386865421086759,-2.6104049682617188,0,0,0,0,0,0,0,0,,,,,7241838.2,,,0.6408214146513243,,,0,0,106905.8727272728,,,25430.37746368775,,0,0,0,0,0,0,0,-0.005264651910295348,-0.0008891083019166857,-0.021045444604440577,-0.02386865421086759,0.01146020309419082,,,,-1,0
2023-09-07 13:30:00-04:00,106.7699966430664,107.32479858398438,106.43000030517578,106.43009948730469,5186617,0.0,0.0,AMD,1h,-0.003043396323097025,0.008407379896467428,0.003193618698085148,0.00521282929914152,9.318992407601832e-07,,,,,,,107.83187130279097,,,,,,,,,0.0,0.0,,,106.72829945882161,,,,106.72829945882161,553558812.3542149,,,,-17400872,108.18440350287851,-2.9808579576387495,-3.2700042724609375,0,0,0,0,0,0,0,0,,,,,7618902.0,,,0.6807564922084574,,,0,0,159060.89090909105,,,16564.077031006294,,0,0,0,0,0,0,0,-0.003043396323097025,-0.00031466784268785464,-0.026257122454919957,-0.029808579576387495,0.010942135937887497,,,,-1,0
