date,open,high,low,close,volume,dividends,stock splits,symbol,timeframe
2022-09-14 00:00:00-04:00,149.62684011562746,150.19532386798068,147.05090107765355,148.9606475830078,652600,0.0,0.0,MAA,1d
2022-09-15 00:00:00-04:00,149.18269165465932,150.11536378537158,147.11305217247377,147.37953186035156,522900,0.0,0.0,MAA,1d
2022-09-16 00:00:00-04:00,146.89099847927196,147.77037744573911,144.68812577322637,147.40618896484375,946500,0.0,0.0,MAA,1d
2022-09-19 00:00:00-04:00,145.9316602440591,147.0775187648614,143.86203444375303,146.66891479492188,624600,0.0,0.0,MAA,1d
2022-09-20 00:00:00-04:00,145.03456438694286,145.27439750999375,140.99299337086916,142.0944366455078,708500,0.0,0.0,MAA,1d
2022-09-21 00:00:00-04:00,143.08038822371634,144.10187798838908,140.06919860839844,140.06919860839844,488000,0.0,0.0,MAA,1d
2022-09-22 00:00:00-04:00,139.90929420501809,141.69469867115552,138.01731683625374,141.0729217529297,640600,0.0,0.0,MAA,1d
2022-09-23 00:00:00-04:00,139.98036918331044,143.41793180632695,139.37636113705275,140.4955596923828,876300,0.0,0.0,MAA,1d
2022-09-26 00:00:00-04:00,139.86485694541872,139.86485694541872,136.40064889683552,137.049072265625,843800,0.0,0.0,MAA,1d
2022-09-27 00:00:00-04:00,138.29268824421982,139.09211385534763,134.49095064007466,134.60641479492188,548900,0.0,0.0,MAA,1d
2022-09-28 00:00:00-04:00,136.00097131688125,139.1009917928754,134.17116485249403,138.39926147460938,1243800,0.0,0.0,MAA,1d
2022-09-29 00:00:00-04:00,137.4043898642216,138.34593951511974,134.98833128084794,136.45394897460938,798500,0.0,0.0,MAA,1d
2022-09-30 00:00:00-04:00,137.71528319468322,138.9677281252926,136.48060718929543,137.741943359375,1162400,0.0,0.0,MAA,1d
2022-10-03 00:00:00-04:00,140.0513818066594,142.4230247147881,138.61241080826412,140.8685760498047,974300,0.0,0.0,MAA,1d
2022-10-04 00:00:00-04:00,141.5437095502515,142.7428479544091,139.27865227076953,140.72650146484375,940000,0.0,0.0,MAA,1d
2022-10-05 00:00:00-04:00,138.94109209806703,139.44740485256094,134.9261685764253,136.35626220703125,638100,0.0,0.0,MAA,1d
2022-10-06 00:00:00-04:00,136.24082102419635,136.87147570981793,133.13192248198408,133.425048828125,858000,0.0,0.0,MAA,1d
2022-10-07 00:00:00-04:00,132.14598278384665,132.88323763715863,128.06887331276243,129.01043701171875,786200,0.0,0.0,MAA,1d
2022-10-10 00:00:00-04:00,129.52560908328678,130.45826785151675,127.72243536552608,128.3531036376953,761000,0.0,0.0,MAA,1d
2022-10-11 00:00:00-04:00,128.3708419095384,131.0889048158835,127.74906502797569,130.45823669433594,621900,0.0,0.0,MAA,1d
2022-10-12 00:00:00-04:00,130.05851422915214,130.15622298564398,127.4559292074346,128.90377807617188,741300,0.0,0.0,MAA,1d
2022-10-13 00:00:00-04:00,126.78035271582712,131.6813328155921,126.44884662776941,131.31398010253906,822100,1.25,0.0,MAA,1d
2022-10-14 00:00:00-04:00,132.98944630760408,132.98944630760408,127.01329992795459,127.53296661376953,1084000,0.0,0.0,MAA,1d
2022-10-17 00:00:00-04:00,130.0237816617932,133.92127520411483,129.48620530278902,133.5449676513672,1112300,0.0,0.0,MAA,1d
2022-10-18 00:00:00-04:00,135.24732427411487,137.0840744106457,133.88543944541857,135.02333068847656,962600,0.0,0.0,MAA,1d
2022-10-19 00:00:00-04:00,133.89437982659697,133.99293753044435,130.79430323679128,132.25474548339844,1520400,0.0,0.0,MAA,1d
2022-10-20 00:00:00-04:00,133.0342253767426,134.26171914270813,131.90530297629036,132.26368713378906,951800,0.0,0.0,MAA,1d
2022-10-21 00:00:00-04:00,132.29058548728136,134.15421346844983,130.6599195484348,133.9750213623047,1423700,0.0,0.0,MAA,1d
2022-10-24 00:00:00-04:00,135.43545434917283,135.43545434917283,132.10242945303958,133.01632690429688,960900,0.0,0.0,MAA,1d
