date,open,high,low,close,volume,dividends,stock splits,symbol,timeframe
2022-09-14 00:00:00-04:00,180.01716582086956,181.14537683025088,178.9181462436454,180.0269012451172,1856200,0.0,0.0,AJG,1d
2022-09-15 00:00:00-04:00,180.32843659776304,180.69801177423733,178.71392897022278,179.46282958984375,1747600,0.0,0.0,AJG,1d
2022-09-16 00:00:00-04:00,179.89076443464705,180.10472118971373,173.18960087405347,174.53176879882812,1915100,0.0,0.0,AJG,1d
2022-09-19 00:00:00-04:00,173.78284650646427,176.5644620619281,172.86862188719638,176.4185791015625,647000,0.0,0.0,AJG,1d
2022-09-20 00:00:00-04:00,174.8430220997931,175.4654809347974,172.5379669365548,174.25946044921875,842700,0.0,0.0,AJG,1d
2022-09-21 00:00:00-04:00,173.53966871830053,176.26293062469546,169.40615068698534,169.54232788085938,1131900,0.0,0.0,AJG,1d
2022-09-22 00:00:00-04:00,170.13563872933435,170.45659611033875,166.34253302762272,167.80142211914062,1014200,0.0,0.0,AJG,1d
2022-09-23 00:00:00-04:00,166.86773670929034,168.8809958817499,164.86418328063536,167.12060546875,980200,0.0,0.0,AJG,1d
2022-09-26 00:00:00-04:00,166.60516488857144,167.39296275433142,164.29038906327986,164.8155975341797,681000,0.0,0.0,AJG,1d
2022-09-27 00:00:00-04:00,166.51761879676405,167.48047616488319,163.32750077898473,165.0781707763672,683500,0.0,0.0,AJG,1d
2022-09-28 00:00:00-04:00,165.8562465005953,167.1108995044421,164.40707790779365,166.1188507080078,945200,0.0,0.0,AJG,1d
2022-09-29 00:00:00-04:00,165.60338815696053,166.71214340853473,163.90135067529735,166.4495391845703,842000,0.0,0.0,AJG,1d
2022-09-30 00:00:00-04:00,165.87569314269433,168.26826294881948,165.37966135219992,166.52732849121094,1835300,0.0,0.0,AJG,1d
2022-10-03 00:00:00-04:00,168.25853389982169,172.2072578122254,167.21785260713315,171.74041748046875,1171200,0.0,0.0,AJG,1d
2022-10-04 00:00:00-04:00,173.21877513740128,176.24353919096654,173.13123051083932,175.076416015625,891600,0.0,0.0,AJG,1d
2022-10-05 00:00:00-04:00,174.23023923952388,177.61485736069983,173.66613374589699,176.77842712402344,860300,0.0,0.0,AJG,1d
2022-10-06 00:00:00-04:00,176.46720839744683,176.95350471034075,173.94819705839677,174.19134521484375,687700,0.0,0.0,AJG,1d
2022-10-07 00:00:00-04:00,173.27712654420358,173.89958530570343,169.03662159380227,169.5326385498047,840600,0.0,0.0,AJG,1d
2022-10-10 00:00:00-04:00,170.7094875118176,172.48933406560468,170.61222229837387,171.730712890625,459500,0.0,0.0,AJG,1d
2022-10-11 00:00:00-04:00,171.46811915184213,172.60605098376195,169.6590958917312,171.3027801513672,893500,0.0,0.0,AJG,1d
2022-10-12 00:00:00-04:00,171.67233724849456,172.1780896229252,169.9800353980566,170.07728576660156,740800,0.0,0.0,AJG,1d
2022-10-13 00:00:00-04:00,167.58741356338228,174.5317235135256,166.30359916315098,173.7633819580078,1418600,0.0,0.0,AJG,1d
2022-10-14 00:00:00-04:00,175.0666640512837,175.5724163472401,165.45744463103716,165.6908721923828,1488300,0.0,0.0,AJG,1d
2022-10-17 00:00:00-04:00,168.31691349552648,171.6626352193381,168.31691349552648,170.28155517578125,953500,0.0,0.0,AJG,1d
2022-10-18 00:00:00-04:00,174.08434897688264,174.726248792505,170.34958223932202,171.3124542236328,813700,0.0,0.0,AJG,1d
2022-10-19 00:00:00-04:00,170.78728631958563,173.34519506288515,169.74660499331236,173.17013549804688,1118400,0.0,0.0,AJG,1d
2022-10-20 00:00:00-04:00,172.1586344033809,172.1586344033809,168.16127767532416,169.0560760498047,1044000,0.0,0.0,AJG,1d
2022-10-21 00:00:00-04:00,168.51141210731132,170.65112799911535,164.3778929790522,170.56358337402344,1286300,0.0,0.0,AJG,1d
2022-10-24 00:00:00-04:00,171.94465562699793,175.1153173034414,171.55562448612,174.23997497558594,770000,0.0,0.0,AJG,1d
2022-10-25 00:00:00-04:00,172.99504685837402,172.99504685837402,168.6378360185113,170.61219787597656,985400,0.0,0.0,AJG,1d
2022-10-26 00:00:00-04:00,171.56532123124535,172.94641572280693,169.6493127054502,171.08876037597656,815500,0.0,0.0,AJG,1d
2022-10-27 00:00:00-04:00,172.1391741876925,173.59806312643266,171.0887723709293,172.66436767578125,1272900,0.0,0.0,AJG,1d
2022-10-28 00:00:00-04:00,179.92964596259873,183.53797133851756,177.27447209916355,183.41152954101562,1292600,0.0,0.0,AJG,1d
2022-10-31 00:00:00-04:00,182.97389266931776,184.7537393175365,181.80676940842176,181.95266723632812,964500,0.0,0.0,AJG,1d
2022-11-01 00:00:00-04:00,182.9252246375954,184.01452364020048,181.1259223259626,182.28330993652344,1074600,0.0,0.0,AJG,1d
2022-11-02 00:00:00-04:00,181.69002697901936,183.72274201558102,179.25854540210278,180.27005004882812,1153200,0.0,0.0,AJG,1d
2022-11-03 00:00:00-04:00,178.82088675825545,182.75988999269904,178.57773859366742,182.21524047851562,711700,0.0,0.0,AJG,1d
2022-11-04 00:00:00-04:00,183.83948378035743,183.83948378035743,179.57952283225046,183.22674560546875,836100,0.0,0.0,AJG,1d
2022-11-07 00:00:00-05:00,183.7422365123068,187.185223457156,182.57512807902813,186.7281036376953,716700,0.0,0.0,AJG,1d
2022-11-08 00:00:00-05:00,186.95177222593992,189.42215118374307,185.19138179229716,187.1171112060547,791900,0.0,0.0,AJG,1d
2022-11-09 00:00:00-05:00,186.90313370363015,187.8270937823478,183.35317635465674,183.41152954101562,539000,0.0,0.0,AJG,1d
2022-11-10 00:00:00-05:00,188.69270145272054,189.2470864065889,186.19314596966063,187.71038818359375,1176000,0.0,0.0,AJG,1d
2022-11-11 00:00:00-05:00,188.43981424967447,188.6246092162065,180.34783678009146,180.9022216796875,1296900,0.0,0.0,AJG,1d
2022-11-14 00:00:00-05:00,181.78731348501339,183.48935078834506,180.6202051594177,180.67855834960938,889300,0.0,0.0,AJG,1d
2022-11-15 00:00:00-05:00,182.28331940859684,183.80056162409107,181.30100613845931,182.63345336914062,940200,0.0,0.0,AJG,1d
2022-11-16 00:00:00-05:00,182.0985147613561,185.0552046803031,182.0985147613561,184.31602478027344,738300,0.0,0.0,AJG,1d
2022-11-17 00:00:00-05:00,183.81028890330506,185.87218055703025,182.9641232124802,185.05520629882812,557500,0.0,0.0,AJG,1d
2022-11-18 00:00:00-05:00,187.2629875644182,189.44160050426203,186.54327848116492,189.00393676757812,990800,0.0,0.0,AJG,1d
2022-11-21 00:00:00-05:00,189.18875529655847,191.23119126880687,188.68300288603527,190.38504028320312,899200,0.0,0.0,AJG,1d
2022-11-22 00:00:00-05:00,190.57954536459883,192.5928194697023,190.57954536459883,191.824462890625,615100,0.0,0.0,AJG,1d
2022-11-23 00:00:00-05:00,191.8925007819929,193.09850596870874,191.0463352261382,191.91195678710938,526300,0.0,0.0,AJG,1d
2022-11-25 00:00:00-05:00,192.57337997004595,194.13925501696127,192.34968777494055,193.82801818847656,633900,0.0,0.0,AJG,1d
2022-11-28 00:00:00-05:00,192.88458585722023,193.7696339099987,190.8518558936553,191.04637145996094,852800,0.0,0.0,AJG,1d
2022-11-29 00:00:00-05:00,190.86158940584707,192.27184579816446,189.78201095699436,190.31692504882812,782300,0.0,0.0,AJG,1d
2022-11-30 00:00:00-05:00,189.2471098797846,193.90582288838698,188.71218086862856,193.6529541015625,2653400,0.0,0.0,AJG,1d
2022-12-01 00:00:00-05:00,195.0180497140696,195.75911294665238,193.20438125658092,194.74502563476562,782400,0.51,0.0,AJG,1d
2022-12-02 00:00:00-05:00,192.98987546720085,196.49044616539686,192.25855772296336,196.24667358398438,745500,0.0,0.0,AJG,1d
2022-12-05 00:00:00-05:00,194.81327604268682,195.52510264348186,191.28345407093354,191.92701721191406,853900,0.0,0.0,AJG,1d
2022-12-06 00:00:00-05:00,192.07328059475697,192.48281672991203,189.81107886551516,191.0981903076172,562800,0.0,0.0,AJG,1d
2022-12-07 00:00:00-05:00,191.54669824318262,191.86847975594546,188.56292497044677,189.12847900390625,1029400,0.0,0.0,AJG,1d
2022-12-08 00:00:00-05:00,188.95299686798947,190.99093202112846,188.73847581200673,190.17185974121094,770600,0.0,0.0,AJG,1d
2022-12-09 00:00:00-05:00,189.99635158965512,190.55214532573106,186.82730810326007,187.05157470703125,776500,0.0,0.0,AJG,1d
2022-12-12 00:00:00-05:00,187.75364161873588,188.91400146484375,186.43726375259558,188.91400146484375,750200,0.0,0.0,AJG,1d
2022-12-13 00:00:00-05:00,192.3170349756507,192.32679539996496,188.1241441618076,189.021240234375,662200,0.0,0.0,AJG,1d
2022-12-14 00:00:00-05:00,189.23577582292629,192.6680828603427,187.39284092925024,188.2996826171875,798700,0.0,0.0,AJG,1d
2022-12-15 00:00:00-05:00,185.79369755877428,186.47627266564598,182.13710896637764,183.41448974609375,767000,0.0,0.0,AJG,1d
2022-12-16 00:00:00-05:00,181.67883258762035,182.56615345647273,179.06558283591212,181.7080841064453,1736200,0.0,0.0,AJG,1d
2022-12-19 00:00:00-05:00,181.67881810211742,182.98543543444453,179.7383831954912,180.4794464111328,615800,0.0,0.0,AJG,1d
2022-12-20 00:00:00-05:00,181.6885709724871,183.51198500795402,180.21619002777976,182.234619140625,570600,0.0,0.0,AJG,1d
2022-12-21 00:00:00-05:00,183.3169718760089,184.82836477944937,182.55640265107436,184.76010131835938,595800,0.0,0.0,AJG,1d
2022-12-22 00:00:00-05:00,183.73625207959643,184.44807868798378,181.23027782745686,183.34622192382812,496100,0.0,0.0,AJG,1d
2022-12-23 00:00:00-05:00,182.9366911443849,184.14580846852706,182.1176188661098,183.71676635742188,351100,0.0,0.0,AJG,1d
2022-12-27 00:00:00-05:00,184.28232434886405,185.3354236765689,183.52175509197124,184.56509399414062,425200,0.0,0.0,AJG,1d
2022-12-28 00:00:00-05:00,185.19890904253532,186.24226289266215,183.17073414198506,183.2682342529297,434000,0.0,0.0,AJG,1d
2022-12-29 00:00:00-05:00,184.682098658967,186.4372641917223,184.16530198525257,185.43292236328125,435500,0.0,0.0,AJG,1d
2022-12-30 00:00:00-05:00,184.65283253766347,185.18913514119149,181.96158885272663,183.843505859375,353200,0.0,0.0,AJG,1d
2023-01-03 00:00:00-05:00,184.03854225630636,184.6528390066902,180.79148988340427,182.59539794921875,546600,0.0,0.0,AJG,1d
2023-01-04 00:00:00-05:00,183.8728026412771,185.60846235138484,183.1219788722579,185.01365661621094,632900,0.0,0.0,AJG,1d
2023-01-05 00:00:00-05:00,184.4773512036746,185.28667800377647,180.83050782948635,181.7958526611328,676600,0.0,0.0,AJG,1d
2023-01-06 00:00:00-05:00,183.3072191962316,187.9876404356307,182.82941962328545,187.23683166503906,471300,0.0,0.0,AJG,1d
2023-01-09 00:00:00-05:00,187.76338208512368,189.89883218060882,186.05697409377032,186.98330688476562,805700,0.0,0.0,AJG,1d
2023-01-10 00:00:00-05:00,187.14906864898532,188.2704313883191,186.04722675981148,187.88038635253906,428600,0.0,0.0,AJG,1d
2023-01-11 00:00:00-05:00,188.7384562743327,190.88365173339844,188.41667472366848,190.88365173339844,611300,0.0,0.0,AJG,1d
2023-01-12 00:00:00-05:00,191.18595755990629,191.956272331331,188.22167478875247,190.1328582763672,678900,0.0,0.0,AJG,1d
2023-01-13 00:00:00-05:00,189.41128114747335,192.19029431269865,188.806729953385,191.65399169921875,618000,0.0,0.0,AJG,1d
2023-01-17 00:00:00-05:00,192.21957270775835,193.5261902551602,190.36689204565113,190.77642822265625,702000,0.0,0.0,AJG,1d
2023-01-18 00:00:00-05:00,190.376623846956,191.1664445609016,186.7785384801404,187.20758056640625,736700,0.0,0.0,AJG,1d
2023-01-19 00:00:00-05:00,186.3690062669182,187.314845009982,185.59867662898546,186.13497924804688,461700,0.0,0.0,AJG,1d
2023-01-20 00:00:00-05:00,187.1490933049711,189.38205865274108,185.3159334707336,189.0700225830078,795700,0.0,0.0,AJG,1d
2023-01-23 00:00:00-05:00,189.55752719128384,191.52721354326704,188.58243700022027,191.00067138671875,476200,0.0,0.0,AJG,1d
